gender,field,uses_ai,frequency,ai_course,technical,practical,critical,overall_label,technical_level,practical_level,critical_level
0,1,1,1,0,1.7413056251644476,1.9376423149516966,1.7730008726400242,Beginner,Low,Low,Low
1,1,1,0,0,2.1070731405164334,1.8300318535023528,2.227643806506942,Beginner,Low,Low,Low
0,1,1,2,0,2.6501426889838235,3.203513056418665,3.186792053766729,Moderate,Medium,Medium,Medium
0,1,1,4,0,2.743383873121969,3.246705135088953,3.0664009990559293,Moderate,Medium,Medium,Medium
0,2,0,4,0,3.517596660627357,3.415621276901177,3.3317659149433783,Advanced,High,High,Medium
1,0,1,0,0,1.8983645921638739,2.299656777659738,1.7000365339451733,Beginner,Low,Low,Low
1,0,1,1,0,1.4929604698288643,1.6958548747898996,1.4285059504792734,Beginner,Low,Low,Low
0,1,1,3,0,2.725399158840393,3.1430471431308993,2.4600470881249397,Moderate,Medium,Medium,Low
0,1,1,1,0,1.8731136625210163,2.0854800760846066,2.4124973209337135,Beginner,Low,Low,Low
0,0,1,0,1,2.4384351543603544,1.8922376271030756,2.2024317836332887,Beginner,Low,Low,Low
0,0,0,3,0,3.217361693099759,3.0922652552368812,2.8350453023726727,Moderate,Medium,Medium,Medium
1,0,1,3,0,3.4264082436167773,2.952555428449998,3.057361157146955,Moderate,High,Medium,Medium
1,1,1,2,0,2.981640908157883,2.9563078401826077,2.7842094973738223,Moderate,Medium,Medium,Medium
0,1,1,4,0,3.2477332538256567,3.322207859195886,2.7587750645413456,Moderate,Medium,Medium,Medium
1,1,0,1,0,2.765526071712763,3.0764302247430666,2.47468682398583,Moderate,Medium,Medium,Low
0,1,1,1,1,2.47787572841413,2.5657983579813153,2.482446318574635,Beginner,Low,Low,Low
0,0,1,2,0,2.222003516563583,2.3072060903617153,2.198136769451264,Beginner,Low,Low,Low
0,1,1,1,0,2.279087199105984,2.1287737705588734,2.1245113310575245,Beginner,Low,Low,Low
1,0,0,0,0,1.0023881025601633,1.2261279007566395,1.0544299759992417,Beginner,Low,Low,Low
1,0,1,4,0,3.2605656196984105,3.413376772245361,3.267239630000126,Moderate,Medium,High,Medium
1,1,1,1,0,2.535217119825437,3.088743250607777,2.696882071203645,Moderate,Low,Medium,Medium
0,1,1,2,0,2.0886440344951738,2.2437801995662032,2.1567851756918297,Beginner,Low,Low,Low
1,0,1,0,0,1.89359703538302,1.6130818691345385,1.425351367339362,Beginner,Low,Low,Low
1,1,1,3,0,2.560754577791706,3.0225500334909015,3.219197852078599,Moderate,Low,Medium,Medium
1,1,1,0,0,1.6073821525105128,1.5863284444156782,1.5320090753274886,Beginner,Low,Low,Low
0,0,1,2,0,2.371089425844124,2.3333474383606694,2.199624315325632,Beginner,Low,Low,Low
1,2,0,0,0,2.158106671530492,2.1019515193843836,2.4013780532217384,Beginner,Low,Low,Low
1,0,1,1,0,1.5357362360440723,1.992203349547413,2.022583925071649,Beginner,Low,Low,Low
1,1,0,2,1,3.4276045453214237,3.6149849751496737,3.3368189101531085,Advanced,High,High,Medium
0,0,1,4,0,3.696080586039155,3.7743220562844644,3.8488701628116417,Advanced,High,High,High
0,1,1,4,0,3.3948414891634537,3.6595333485738313,3.4768611049021123,Advanced,Medium,High,High
1,1,1,3,0,3.1341387465494366,3.2762906140927717,3.633415802442577,Moderate,Medium,Medium,High
1,0,1,1,0,1.186945377263163,1.0144042552414727,1.3182599426383823,Beginner,Low,Low,Low
0,1,1,0,0,1.6065946125534696,2.09594458597676,2.20299471313244,Beginner,Low,Low,Low
0,1,1,2,0,2.6184913394681635,2.8281052954695807,3.1556874938092028,Moderate,Medium,Medium,Medium
0,1,1,0,0,1.8778839797815003,2.063413992407152,1.9535692556102506,Beginner,Low,Low,Low
1,1,1,4,0,3.79716497750575,3.800610900664983,3.775563334485477,Advanced,High,High,High
1,1,0,2,0,2.2665274403550844,1.998657495602034,2.107751701177161,Beginner,Low,Low,Low
1,0,1,1,1,2.6588927784362713,3.3731409838193116,2.909834824290992,Moderate,Medium,Medium,Medium
0,1,1,3,0,3.18907957437684,2.9862078784319515,3.238596440948213,Moderate,Medium,Medium,Medium
1,0,0,2,0,2.077961169902496,2.1142635363801645,2.321956857616615,Beginner,Low,Low,Low
1,1,1,4,0,2.8653973530487957,3.3610028042143325,3.2110322808596305,Moderate,Medium,Medium,Medium
1,1,1,2,0,2.321494003967297,2.5729739817737296,2.5675778806413843,Beginner,Low,Low,Low
0,0,0,0,0,2.279999834393155,2.0009090903726374,1.8333816467352697,Beginner,Low,Low,Low
1,1,1,0,0,1.1089381829592015,1.3777562853509273,1.7169666675473878,Beginner,Low,Low,Low
1,0,0,2,0,2.6243054324902815,1.793312873095141,2.541808205158236,Beginner,Medium,Low,Low
1,1,1,3,0,2.5221831540664787,2.455631322491488,3.0282005802693783,Moderate,Low,Low,Medium
0,2,1,4,0,2.8814405813961015,2.8183571782225614,2.531072804859518,Moderate,Medium,Medium,Low
1,0,1,2,0,3.003190969308671,3.16495839681866,2.9990622503733215,Moderate,Medium,Medium,Medium
1,0,1,4,0,2.9675446692797274,3.291599743950512,3.172953035235104,Moderate,Medium,Medium,Medium
0,0,1,3,0,2.9106026369291103,2.558483234406354,3.0860466292800806,Moderate,Medium,Low,Medium
0,0,1,3,0,2.9215552487421976,3.2455063035724545,2.9833655916020874,Moderate,Medium,Medium,Medium
0,2,1,0,0,1.9853551569245058,1.9244037924745063,2.260755648544764,Beginner,Low,Low,Low
0,1,1,1,0,1.9295150422677605,1.7554541731181499,2.033307133520425,Beginner,Low,Low,Low
0,1,1,4,0,3.1714380119247387,3.158312053787375,2.656465099924035,Moderate,Medium,Medium,Medium
1,0,0,4,0,3.2901036937862815,3.6157373888355337,3.2068639645837123,Moderate,Medium,High,Medium
0,0,1,1,0,2.0653741094231983,1.8487073138553705,1.7507089676488194,Beginner,Low,Low,Low
0,0,1,1,0,2.0740166630749397,1.878595671909588,1.9189599752270414,Beginner,Low,Low,Low
1,1,1,4,0,3.2454198739330753,3.6460396893977016,3.5332048720425564,Advanced,Medium,High,High
0,1,1,1,0,1.4940197281936993,1.3550102558169874,1.2080814529463106,Beginner,Low,Low,Low
0,1,1,2,0,2.984233211642002,2.914084314160095,2.4756773777385646,Moderate,Medium,Medium,Low
0,0,1,0,0,1.6018043907801216,1.5132101714566368,1.210601099527966,Beginner,Low,Low,Low
1,1,1,0,0,2.2420126622103584,2.1361435040729417,1.817984459661473,Beginner,Low,Low,Low
0,1,0,1,0,2.3704230031723976,2.38320123317885,2.0735357505757133,Beginner,Low,Low,Low
1,0,0,0,0,1.3484377086078572,1.6725758838721692,1.6995290402118588,Beginner,Low,Low,Low
1,1,1,1,0,2.2005873967145564,1.7466243546314886,2.466154972567986,Beginner,Low,Low,Low
0,1,1,3,0,3.3303445468788704,3.298658585281463,3.2198385328219388,Moderate,Medium,Medium,Medium
0,1,1,1,0,2.4377812717956973,2.1212275067625526,2.506554684819743,Beginner,Low,Low,Low
0,1,1,3,1,3.9570261390033084,3.9822636727259106,3.5617772381491144,Advanced,High,High,High
1,0,1,1,0,1.1784173433384573,1.2057808937322987,1.5564211569591613,Beginner,Low,Low,Low
1,1,1,3,0,3.660137443912523,4.026337409498583,4.1171385381793995,Advanced,High,High,High
0,0,0,0,0,1.5420389457574157,1.5674192357767782,1.6329900659170138,Beginner,Low,Low,Low
0,0,1,3,1,3.1532661780846043,3.547161520456524,3.5976864071885495,Advanced,Medium,High,High
1,1,1,4,0,4.3947805698231415,4.039190893793145,4.240152474997241,Advanced,High,High,High
0,0,1,4,0,3.479771661617897,3.0929384391043637,3.2839967905644287,Moderate,High,Medium,Medium
1,0,0,2,0,2.1460717456756333,2.2866795667549513,1.935562001418824,Beginner,Low,Low,Low
0,2,0,4,0,3.7303154335892263,3.926463384143294,3.4353251949593124,Advanced,High,High,High
0,1,1,2,0,2.313814954756476,2.31574268588067,2.218577877341824,Beginner,Low,Low,Low
0,1,1,2,0,2.5792073131916076,2.7911663692066147,2.386477441707496,Beginner,Low,Medium,Low
0,0,1,4,0,3.1666170300372007,2.8853584922099875,3.3065804336114155,Moderate,Medium,Medium,Medium
1,0,1,2,0,2.570997516495674,2.803203095260346,2.27310785682633,Beginner,Low,Medium,Low
1,1,1,3,0,2.9631551170296633,2.971496825897331,3.0790161355646384,Moderate,Medium,Medium,Medium
1,1,0,2,0,3.158145733811956,2.9651032552558885,3.582701475997593,Moderate,Medium,Medium,High
0,0,1,2,0,2.4938839172147764,2.763221770190479,2.525025797302933,Beginner,Low,Medium,Low
0,0,0,3,0,2.403884440716643,2.610358106401737,2.759929666924046,Beginner,Low,Medium,Medium
0,2,1,4,1,4.328053127941837,4.227192175545855,4.235542345405575,Advanced,High,High,High
1,1,1,1,0,2.445865566348473,2.505584414662861,2.4056392560641706,Beginner,Low,Low,Low
0,0,1,1,0,1.68133851931888,1.8665297202345907,1.7149702801409836,Beginner,Low,Low,Low
0,0,1,3,0,2.317253979799716,2.3428998023232914,2.054897692405096,Beginner,Low,Low,Low
0,0,1,2,1,2.8287212786846174,2.8768962064007466,3.3880610122848513,Moderate,Medium,Medium,Medium
0,1,1,4,0,3.85115713999316,3.6172831886016645,3.691475141421776,Advanced,High,High,High
1,1,1,1,0,2.6252595091449202,2.3298679882722215,2.3854784587369053,Beginner,Medium,Low,Low
1,1,1,1,0,2.2757228590466982,2.3726428174220047,2.5065884717469373,Beginner,Low,Low,Low
0,0,1,1,1,2.848298473796673,2.847487791114675,3.005471729773678,Moderate,Medium,Medium,Medium
0,0,1,3,0,2.969466070717454,3.006882763228271,2.5776940141056683,Moderate,Medium,Medium,Low
1,0,0,4,0,2.6886395509305334,3.208210760992794,3.169022228002945,Moderate,Medium,Medium,Medium
0,1,1,1,0,2.0463226875138023,1.7086938020418032,2.4254435000716557,Beginner,Low,Low,Low
1,0,1,4,0,3.260701627255058,3.5709321252904305,3.2897320681759994,Moderate,Medium,High,Medium
0,0,1,3,0,3.574930603643808,2.9037969893155218,3.001011259402855,Moderate,High,Medium,Medium
1,1,1,1,0,1.760928841655601,1.8990388787397685,1.576572858900711,Beginner,Low,Low,Low
0,1,0,3,0,2.7005837802587633,2.829797639648085,3.0694542576982466,Moderate,Medium,Medium,Medium
1,0,1,0,0,1.537741731335156,1.5056749733850237,1.3552214995655607,Beginner,Low,Low,Low
0,1,1,3,0,3.081331991780869,3.001288204548296,2.7293253814985308,Moderate,Medium,Medium,Medium
1,1,0,4,0,4.120272285612992,3.8804975103087216,3.8803763963266076,Advanced,High,High,High
0,1,1,3,0,3.20058896510768,3.3206373264758344,3.1623384674747688,Moderate,Medium,Medium,Medium
1,1,0,1,0,2.054647300744603,1.9669850565205491,1.7498848598831291,Beginner,Low,Low,Low
1,0,1,2,0,2.5323097564506463,2.415086809825336,2.6589760464599403,Beginner,Low,Low,Medium
0,1,1,3,0,3.0432748771783853,2.940272520984539,2.9336997652786967,Moderate,Medium,Medium,Medium
0,1,1,4,1,4.197763297927059,4.431232107975831,4.4808742171318325,Advanced,High,High,High
1,1,1,0,0,2.049115484035664,1.7439376954161816,2.092951389240188,Beginner,Low,Low,Low
1,1,1,0,0,2.1510667632905154,2.2696627758033774,2.488579081821416,Beginner,Low,Low,Low
0,0,1,3,0,3.019454569417137,2.819707320282959,3.1543613836172812,Moderate,Medium,Medium,Medium
0,0,1,0,0,2.2187093409661074,1.4975234551388705,2.1157147470090485,Beginner,Low,Low,Low
0,1,1,0,0,1.7660268898394882,1.9027257704561782,1.6027053266254851,Beginner,Low,Low,Low
1,1,1,1,1,2.8906036513185223,3.0968848696983375,2.800023380852329,Moderate,Medium,Medium,Medium
0,1,1,1,0,2.6130012173505186,2.778955077949664,2.5636800566451146,Moderate,Medium,Medium,Low
0,1,1,2,0,2.289031987620838,2.4775712619575208,2.485469314601843,Beginner,Low,Low,Low
1,0,1,2,1,4.132511567851311,3.987582700695752,3.840850488105147,Advanced,High,High,High
1,0,1,0,0,1.5406114866914564,1.6276913430262725,1.305480841693872,Beginner,Low,Low,Low
0,0,1,3,0,2.7919776446713627,2.361157467210131,2.575205396628796,Beginner,Medium,Low,Low
0,1,1,3,0,2.8906159464850187,3.37977507599053,3.0897103264655152,Moderate,Medium,Medium,Medium
1,1,1,2,0,2.828780855145801,3.3047850947834365,2.775231689190553,Moderate,Medium,Medium,Medium
1,1,0,1,0,2.3787369259451427,2.9444502057358863,2.0724029195251874,Beginner,Low,Medium,Low
1,0,1,3,0,2.552614223656828,2.292654734464882,2.434788461060033,Beginner,Low,Low,Low
0,2,0,4,0,2.3447123903462797,2.9480616471407544,2.635569201703706,Moderate,Low,Medium,Medium
1,1,1,4,0,3.1225443796768335,3.1956402168022056,3.080707672462956,Moderate,Medium,Medium,Medium
1,1,1,3,0,2.858956644296499,3.2363118199801155,3.336841565859009,Moderate,Medium,Medium,Medium
1,0,1,1,1,3.397807937736016,2.9563996578453184,3.353866138676815,Moderate,Medium,Medium,Medium
1,1,0,4,0,3.3286750003860464,3.0198004698521497,3.2190476519620947,Moderate,Medium,Medium,Medium
0,1,0,3,1,2.999468734835612,2.9486685378823,3.2571913051209314,Moderate,Medium,Medium,Medium
1,1,1,1,0,2.5898011728231913,2.141783108071039,2.3943861306810814,Beginner,Low,Low,Low
0,0,1,1,0,1.200934763417191,1.4510702790033336,1.1168955867405819,Beginner,Low,Low,Low
0,0,1,3,0,2.7286017644380496,3.1726413716974258,3.2133105718080133,Moderate,Medium,Medium,Medium
1,0,1,1,0,2.6595608133644792,2.7976863340436235,2.494896944889565,Moderate,Medium,Medium,Low
0,1,1,0,0,2.037726573538606,1.8692451852663692,2.539523973111818,Beginner,Low,Low,Low
0,2,1,4,0,3.1304479153953726,3.2502975836974244,2.382452707098916,Moderate,Medium,Medium,Low
0,2,1,3,0,2.092172501268884,2.0901785221302145,1.8748622596754483,Beginner,Low,Low,Low
0,0,1,2,0,1.9562968744298217,1.8848153126645084,1.604574242544286,Beginner,Low,Low,Low
1,0,1,0,0,1.5581542098883652,1.4969680562363812,1.2027755473271307,Beginner,Low,Low,Low
0,1,1,0,0,1.520685063708444,1.812259220371842,1.7072174308814718,Beginner,Low,Low,Low
1,0,1,4,0,3.156746599238362,2.5355633234300936,2.3843423398769366,Moderate,Medium,Low,Low
0,0,1,2,0,2.6896210559503917,2.217398344445027,2.531969437491163,Beginner,Medium,Low,Low
0,0,0,1,0,1.7762646096367178,2.0265194164191347,1.6016862248959844,Beginner,Low,Low,Low
0,1,0,1,0,2.193887684298671,2.3014313028051614,2.18972383377259,Beginner,Low,Low,Low
0,0,1,4,1,4.072844204017258,4.104548997610368,4.006168831687187,Advanced,High,High,High
1,2,1,2,0,1.8830143607731362,2.3886748863832565,2.2639925550529623,Beginner,Low,Low,Low
0,1,0,3,0,2.949313709083583,2.9786974246953344,2.840341078375235,Moderate,Medium,Medium,Medium
0,1,0,0,1,2.6190144450059156,2.1630686914444457,2.093668565699051,Beginner,Medium,Low,Low
0,2,1,2,0,2.4431925224834012,2.4284205537096444,2.7606815754293113,Beginner,Low,Low,Medium
1,0,1,0,0,2.0443711074987068,1.5316215277619865,1.6816468328529623,Beginner,Low,Low,Low
0,0,1,0,0,1.3327109963772021,1.6161163463480188,1.6848469233355954,Beginner,Low,Low,Low
0,1,1,1,0,2.32497222052029,2.2480910013213666,2.110786717537128,Beginner,Low,Low,Low
0,1,1,1,1,2.788565400992743,2.896950768843768,2.821944046335952,Moderate,Medium,Medium,Medium
1,2,1,0,0,2.576419571460765,2.51318310868168,2.758508433753555,Moderate,Low,Low,Medium
0,1,0,2,0,3.179005778875989,3.1834654894905134,2.982501220384451,Moderate,Medium,Medium,Medium
1,1,1,2,0,2.053353079949413,2.5685642680856935,2.578308463262944,Beginner,Low,Low,Low
0,0,1,4,0,3.4415910177499063,3.1619547511177837,3.3540069976901106,Moderate,High,Medium,Medium
1,0,1,4,0,2.819177548749996,3.0111196240168727,3.1067209486106058,Moderate,Medium,Medium,Medium
0,1,1,2,0,2.8370328651298187,2.9321860126591117,2.9619270849395347,Moderate,Medium,Medium,Medium
1,1,1,0,1,2.0437813941100598,2.174205118693425,2.100974265449589,Beginner,Low,Low,Low
1,1,0,4,0,3.4311067611163093,3.3755396975480814,3.121752221369602,Moderate,High,Medium,Medium
1,1,0,3,0,2.3343768682870074,2.67244212141891,2.881695594814432,Moderate,Low,Medium,Medium
0,0,1,3,0,3.380566824048407,3.064320844992072,3.3548487735713657,Moderate,Medium,Medium,Medium
1,0,1,2,0,2.6049175003944236,2.9243357765770517,2.8711775060183937,Moderate,Medium,Medium,Medium
1,1,1,0,0,1.8508462925705338,2.177885742895617,2.001358131158146,Beginner,Low,Low,Low
0,1,1,0,0,2.282729649351329,2.121013288887639,1.9744222613129099,Beginner,Low,Low,Low
1,1,1,1,0,1.9294216868063154,2.1815224228463586,1.7996573003515473,Beginner,Low,Low,Low
0,1,0,2,0,2.6475398640385324,2.520096664828857,2.1796275893145847,Beginner,Medium,Low,Low
1,1,0,1,0,2.0178689413536133,2.2069825910898158,2.3803229153567704,Beginner,Low,Low,Low
0,0,0,3,0,2.8273667472524564,2.9525933553080703,3.014954626374163,Moderate,Medium,Medium,Medium
0,1,1,3,0,3.722578289625307,3.0531656671674074,3.0968569068906424,Moderate,High,Medium,Medium
0,0,1,1,0,1.6086847196318868,1.529387144963727,1.7664114885594657,Beginner,Low,Low,Low
1,1,1,0,0,1.7708375722728271,1.3947376081072507,1.4339820699739816,Beginner,Low,Low,Low
0,1,1,0,0,1.9436609876939688,1.6705752064611674,1.4997007066614885,Beginner,Low,Low,Low
0,1,0,1,0,2.6735263710956954,3.066310420047335,2.819627069461863,Moderate,Medium,Medium,Medium
1,1,1,4,0,3.292750297884402,3.489242721277677,3.1105297685148248,Moderate,Medium,High,Medium
1,0,1,3,0,2.152753419495125,2.1857504369983976,2.373232289231175,Beginner,Low,Low,Low
1,1,1,4,0,3.2130497008930226,3.367964975477193,3.4785070183680995,Moderate,Medium,Medium,High
1,1,0,0,0,1.3307440068898593,1.7680338766782044,1.4224852279162186,Beginner,Low,Low,Low
0,1,1,1,0,1.740222434267643,2.046905324195781,1.65131804399847,Beginner,Low,Low,Low
0,1,1,1,0,2.6260442130540427,2.6615335069202057,2.4092209016789825,Beginner,Medium,Medium,Low
0,1,0,0,0,1.7073412904241323,1.9281290677247274,1.8853065556490622,Beginner,Low,Low,Low
0,1,1,2,0,2.8897099480849127,2.591337558752684,2.6977401962517735,Moderate,Medium,Low,Medium
0,0,1,1,0,2.041002719634608,2.0813339308115855,2.361769448902358,Beginner,Low,Low,Low
0,1,1,4,1,3.620548847351171,3.8777223140020936,3.96880861791812,Advanced,High,High,High
0,0,1,2,0,1.8451254400596853,1.6931392753256436,2.141022163317479,Beginner,Low,Low,Low
1,0,1,1,0,2.2585808184423466,2.7423036962725296,2.7068958554287113,Beginner,Low,Medium,Medium
1,2,1,3,0,2.7696357513817236,2.9986398742234646,2.703415842135299,Moderate,Medium,Medium,Medium
0,1,1,2,0,2.0443347998202848,2.224901928035692,1.7558156365320021,Beginner,Low,Low,Low
1,2,1,0,0,1.6032195655665527,1.4909125911245074,1.566449390162774,Beginner,Low,Low,Low
0,0,1,3,0,2.4257688635069523,2.608971851175941,2.9108583369764163,Moderate,Low,Medium,Medium
0,0,1,1,1,2.6771888357510827,2.9851556562148036,2.915515384960426,Moderate,Medium,Medium,Medium
0,2,1,2,0,3.2662640280068906,2.8655197008142625,3.107423248775632,Moderate,Medium,Medium,Medium
0,1,0,0,0,1.1751864956918885,1.0,1.3902867912563865,Beginner,Low,Low,Low
0,1,1,2,0,2.908321031479547,2.9089877332424052,2.7713840555363767,Moderate,Medium,Medium,Medium
0,1,1,0,0,1.2130249903196715,1.3828752399864157,1.5908286662849904,Beginner,Low,Low,Low
0,0,1,2,0,2.696308300380279,2.1303915218023133,2.3324885107106,Beginner,Medium,Low,Low
0,1,1,4,0,4.040414857025796,3.907076086591736,3.571596196431984,Advanced,High,High,High
1,0,1,2,0,2.5472585172434394,2.4456819313098364,2.7759716501214964,Beginner,Low,Low,Medium
0,1,1,1,0,2.0090619133187313,1.930608827824962,1.8779850767536428,Beginner,Low,Low,Low
0,1,1,2,0,2.3005950805286197,2.1650718383775995,1.857073587897713,Beginner,Low,Low,Low
1,1,0,2,0,2.2481839318048626,2.316892994358179,2.543684712027171,Beginner,Low,Low,Low
1,0,1,0,0,1.7398570849408295,2.062562945494535,1.872188540336068,Beginner,Low,Low,Low
0,1,1,2,0,2.809988739872111,2.753518088984485,2.6027286185730754,Moderate,Medium,Medium,Medium
0,1,1,4,0,3.2463891484660783,3.178117455656703,3.1244778947389134,Moderate,Medium,Medium,Medium
1,0,1,0,0,1.456076493700026,1.2210546845958667,1.0,Beginner,Low,Low,Low
1,0,1,3,0,2.1184288283883594,2.192407814606297,2.598830378379623,Beginner,Low,Low,Low
0,1,1,2,0,2.2591267970727866,2.3480927177241515,2.0427863659324084,Beginner,Low,Low,Low
0,2,0,1,0,1.4617568987744294,2.126492759231803,1.49374054928599,Beginner,Low,Low,Low
1,2,1,0,0,2.1762760325323582,1.9615916981892605,2.4458993386799235,Beginner,Low,Low,Low
0,0,1,1,0,1.4657132570166587,2.169599332910322,1.455728430927122,Beginner,Low,Low,Low
0,1,1,1,0,2.1073968979196356,2.4559347010056385,2.7939498308986566,Beginner,Low,Low,Medium
1,1,0,0,0,2.572229385993874,2.180659018520222,2.251248249086977,Beginner,Low,Low,Low
1,1,0,4,0,3.8131841184358652,3.3939264737454637,3.609934159872505,Advanced,High,Medium,High
0,0,1,2,0,1.4796161415786093,1.6021715312649234,1.6810871331634163,Beginner,Low,Low,Low
0,0,1,4,0,2.5002243167117886,2.9827181408619716,2.95472830147262,Moderate,Low,Medium,Medium
0,2,1,3,0,2.9739578766418444,2.640901844893323,2.9191747696716615,Moderate,Medium,Medium,Medium
0,1,1,1,0,2.053349979173661,2.3486404973563686,1.959052467240639,Beginner,Low,Low,Low
0,2,1,2,0,2.5257377734601407,2.7235312951406745,2.4665039895735092,Beginner,Low,Medium,Low
0,1,1,0,0,2.2582338086153966,2.3326117200502385,2.298724638751761,Beginner,Low,Low,Low
0,1,1,2,0,3.033589229470457,2.607413275650437,2.7357901672116895,Moderate,Medium,Medium,Medium
0,1,1,1,1,2.7280963393724127,2.9599202968099294,3.0407192406559616,Moderate,Medium,Medium,Medium
1,1,1,3,0,3.146882403946447,3.340030449404703,2.807987150056309,Moderate,Medium,Medium,Medium
0,0,1,4,1,4.190807312879786,4.341126583742661,4.556570807265539,Advanced,High,High,High
0,1,1,3,0,2.7772238134342255,2.4281522097263535,2.3686678732911495,Beginner,Medium,Low,Low
0,1,1,4,1,4.116683682448454,4.419209917063434,4.383892665490802,Advanced,High,High,High
1,1,1,4,0,3.484463527099562,3.5026098416982276,3.414601916642469,Advanced,High,High,High
0,0,0,3,0,2.5939400303679028,2.667637426478651,2.6584137873958293,Moderate,Low,Medium,Medium
1,1,1,2,0,2.515668691979738,2.6594302294365293,2.543063093263992,Beginner,Low,Medium,Low
